score_vs_iteration 	benchmark 	 BlackScholes 	routing 	 route_valient 	iterations 	 500 	vc 	 11 	arbiters 	 0 	score 	 797760.00 	min_score 	 797760.00 	max_score 	 1292180.00 	mean_score 	 1044377.00 	score_param1 	 640 	score_param2 	 34 	score_param3 	 73342
score_vs_iteration 	benchmark 	 BlackScholes 	routing 	 route_valient 	iterations 	 700 	vc 	 13 	arbiters 	 0 	score 	 846150.00 	min_score 	 846150.00 	max_score 	 1346230.00 	mean_score 	 1020123.00 	score_param1 	 576 	score_param2 	 27 	score_param3 	 78828
score_vs_iteration 	benchmark 	 BlackScholes 	routing 	 route_valient 	iterations 	 900 	vc 	 10 	arbiters 	 0 	score 	 721430.00 	min_score 	 721430.00 	max_score 	 1373950.00 	mean_score 	 993886.00 	score_param1 	 512 	score_param2 	 25 	score_param3 	 66998
score_vs_iteration 	benchmark 	 BlackScholes 	routing 	 route_min_valient 	iterations 	 100 	vc 	 8 	arbiters 	 0 	score 	 268020.00 	min_score 	 268020.00 	max_score 	 411630.00 	mean_score 	 305822.00 	score_param1 	 320 	score_param2 	 14 	score_param3 	 23588
score_vs_iteration 	benchmark 	 BlackScholes 	routing 	 route_min_valient 	iterations 	 300 	vc 	 7 	arbiters 	 0 	score 	 246260.00 	min_score 	 246260.00 	max_score 	 332280.00 	mean_score 	 258968.00 	score_param1 	 256 	score_param2 	 14 	score_param3 	 22052
score_vs_iteration 	benchmark 	 BlackScholes 	routing 	 route_min_valient 	iterations 	 500 	vc 	 5 	arbiters 	 0 	score 	 229650.00 	min_score 	 229650.00 	max_score 	 679020.00 	mean_score 	 360761.00 	score_param1 	 256 	score_param2 	 15 	score_param3 	 20390
score_vs_iteration 	benchmark 	 BlackScholes 	routing 	 route_min_valient 	iterations 	 700 	vc 	 8 	arbiters 	 0 	score 	 241140.00 	min_score 	 241140.00 	max_score 	 687840.00 	mean_score 	 302664.00 	score_param1 	 256 	score_param2 	 14 	score_param3 	 21540
score_vs_iteration 	benchmark 	 BlackScholes 	routing 	 route_min_valient 	iterations 	 900 	vc 	 6 	arbiters 	 0 	score 	 224500.00 	min_score 	 224500.00 	max_score 	 343530.00 	mean_score 	 239603.00 	score_param1 	 256 	score_param2 	 14 	score_param3 	 19876
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_dor 	iterations 	 100 	vc 	 2 	arbiters 	 0 	score 	 11580.00 	min_score 	 11580.00 	max_score 	 48100.00 	mean_score 	 18847.00 	score_param1 	 64 	score_param2 	 12 	score_param3 	 506
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_dor 	iterations 	 300 	vc 	 2 	arbiters 	 0 	score 	 11580.00 	min_score 	 11580.00 	max_score 	 42330.00 	mean_score 	 17314.00 	score_param1 	 64 	score_param2 	 12 	score_param3 	 506
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_dor 	iterations 	 500 	vc 	 2 	arbiters 	 0 	score 	 11580.00 	min_score 	 11580.00 	max_score 	 39820.00 	mean_score 	 16243.00 	score_param1 	 64 	score_param2 	 12 	score_param3 	 506
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_dor 	iterations 	 700 	vc 	 2 	arbiters 	 0 	score 	 11580.00 	min_score 	 11580.00 	max_score 	 49120.00 	mean_score 	 27840.00 	score_param1 	 64 	score_param2 	 12 	score_param3 	 506
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_dor 	iterations 	 900 	vc 	 2 	arbiters 	 0 	score 	 11580.00 	min_score 	 11580.00 	max_score 	 26680.00 	mean_score 	 18299.00 	score_param1 	 64 	score_param2 	 12 	score_param3 	 506
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_bdor 	iterations 	 100 	vc 	 4 	arbiters 	 0 	score 	 12950.00 	min_score 	 12950.00 	max_score 	 35940.00 	mean_score 	 19003.00 	score_param1 	 64 	score_param2 	 13 	score_param3 	 642
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_bdor 	iterations 	 300 	vc 	 2 	arbiters 	 0 	score 	 12910.00 	min_score 	 12910.00 	max_score 	 35850.00 	mean_score 	 20516.00 	score_param1 	 64 	score_param2 	 13 	score_param3 	 638
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_bdor 	iterations 	 500 	vc 	 2 	arbiters 	 0 	score 	 12910.00 	min_score 	 12910.00 	max_score 	 34670.00 	mean_score 	 15134.00 	score_param1 	 64 	score_param2 	 13 	score_param3 	 638
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_bdor 	iterations 	 700 	vc 	 2 	arbiters 	 0 	score 	 12910.00 	min_score 	 12910.00 	max_score 	 60920.00 	mean_score 	 23046.00 	score_param1 	 64 	score_param2 	 13 	score_param3 	 638
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_bdor 	iterations 	 900 	vc 	 2 	arbiters 	 0 	score 	 12910.00 	min_score 	 12910.00 	max_score 	 27520.00 	mean_score 	 14661.00 	score_param1 	 64 	score_param2 	 13 	score_param3 	 638
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_min_local 	iterations 	 100 	vc 	 2 	arbiters 	 0 	score 	 11480.00 	min_score 	 11480.00 	max_score 	 29510.00 	mean_score 	 14190.00 	score_param1 	 64 	score_param2 	 10 	score_param3 	 498
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_min_local 	iterations 	 300 	vc 	 2 	arbiters 	 0 	score 	 11480.00 	min_score 	 11480.00 	max_score 	 28910.00 	mean_score 	 18306.00 	score_param1 	 64 	score_param2 	 10 	score_param3 	 498
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_min_local 	iterations 	 500 	vc 	 2 	arbiters 	 0 	score 	 11480.00 	min_score 	 11480.00 	max_score 	 33970.00 	mean_score 	 23283.00 	score_param1 	 64 	score_param2 	 10 	score_param3 	 498
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_min_local 	iterations 	 700 	vc 	 2 	arbiters 	 0 	score 	 11480.00 	min_score 	 11480.00 	max_score 	 26360.00 	mean_score 	 14323.00 	score_param1 	 64 	score_param2 	 10 	score_param3 	 498
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_min_local 	iterations 	 900 	vc 	 2 	arbiters 	 0 	score 	 11480.00 	min_score 	 11480.00 	max_score 	 31350.00 	mean_score 	 13505.00 	score_param1 	 64 	score_param2 	 10 	score_param3 	 498
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_directed_valient 	iterations 	 100 	vc 	 2 	arbiters 	 0 	score 	 17930.00 	min_score 	 17930.00 	max_score 	 34580.00 	mean_score 	 23837.00 	score_param1 	 64 	score_param2 	 11 	score_param3 	 1142
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_directed_valient 	iterations 	 300 	vc 	 2 	arbiters 	 0 	score 	 17930.00 	min_score 	 17930.00 	max_score 	 30140.00 	mean_score 	 20203.00 	score_param1 	 64 	score_param2 	 11 	score_param3 	 1142
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_directed_valient 	iterations 	 500 	vc 	 2 	arbiters 	 0 	score 	 17890.00 	min_score 	 17890.00 	max_score 	 26880.00 	mean_score 	 18879.00 	score_param1 	 64 	score_param2 	 11 	score_param3 	 1138
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_directed_valient 	iterations 	 700 	vc 	 2 	arbiters 	 0 	score 	 17890.00 	min_score 	 17890.00 	max_score 	 58380.00 	mean_score 	 28787.00 	score_param1 	 64 	score_param2 	 11 	score_param3 	 1138
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_directed_valient 	iterations 	 900 	vc 	 2 	arbiters 	 0 	score 	 17930.00 	min_score 	 17930.00 	max_score 	 37770.00 	mean_score 	 24927.00 	score_param1 	 64 	score_param2 	 11 	score_param3 	 1142
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_valient 	iterations 	 100 	vc 	 3 	arbiters 	 0 	score 	 43980.00 	min_score 	 43980.00 	max_score 	 113590.00 	mean_score 	 72464.00 	score_param1 	 66 	score_param2 	 20 	score_param3 	 3718
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_valient 	iterations 	 300 	vc 	 3 	arbiters 	 0 	score 	 31690.00 	min_score 	 31690.00 	max_score 	 102040.00 	mean_score 	 60181.00 	score_param1 	 66 	score_param2 	 15 	score_param3 	 2494
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_valient 	iterations 	 500 	vc 	 3 	arbiters 	 0 	score 	 31690.00 	min_score 	 31690.00 	max_score 	 90190.00 	mean_score 	 52089.00 	score_param1 	 66 	score_param2 	 15 	score_param3 	 2494
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_valient 	iterations 	 700 	vc 	 3 	arbiters 	 0 	score 	 31690.00 	min_score 	 31690.00 	max_score 	 102010.00 	mean_score 	 63370.00 	score_param1 	 66 	score_param2 	 15 	score_param3 	 2494
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_valient 	iterations 	 900 	vc 	 4 	arbiters 	 0 	score 	 30380.00 	min_score 	 30380.00 	max_score 	 108310.00 	mean_score 	 66560.00 	score_param1 	 65 	score_param2 	 14 	score_param3 	 2374
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_min_valient 	iterations 	 100 	vc 	 2 	arbiters 	 0 	score 	 12850.00 	min_score 	 12850.00 	max_score 	 33270.00 	mean_score 	 16909.00 	score_param1 	 64 	score_param2 	 11 	score_param3 	 634
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_min_valient 	iterations 	 300 	vc 	 2 	arbiters 	 0 	score 	 11480.00 	min_score 	 11480.00 	max_score 	 36540.00 	mean_score 	 15171.00 	score_param1 	 64 	score_param2 	 10 	score_param3 	 498
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_min_valient 	iterations 	 500 	vc 	 2 	arbiters 	 0 	score 	 12810.00 	min_score 	 12810.00 	max_score 	 60380.00 	mean_score 	 18665.00 	score_param1 	 64 	score_param2 	 11 	score_param3 	 630
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_min_valient 	iterations 	 700 	vc 	 2 	arbiters 	 0 	score 	 12810.00 	min_score 	 12810.00 	max_score 	 24650.00 	mean_score 	 16423.00 	score_param1 	 64 	score_param2 	 11 	score_param3 	 630
score_vs_iteration 	benchmark 	 DotProduct 	routing 	 route_min_valient 	iterations 	 900 	vc 	 2 	arbiters 	 0 	score 	 12810.00 	min_score 	 12810.00 	max_score 	 30210.00 	mean_score 	 17232.00 	score_param1 	 64 	score_param2 	 11 	score_param3 	 630
