link,ctx,src,tp,count,dst[0],out[0],dst[1],out[1],dst[2],out[2],dst[3],out[3],dst[4],out[4]
/TopQuery/TopDB/sortB_sort/blockSort/pmu3Out0_50/pmu3Out0_50_src,/TopQuery/TopDB/sortB_sort/blockSort/pmu3,/TopQuery/TopDB/sortB_sort/blockSort/pmu3,2,100000,/TopQuery/TopDB/sortB_sort/blockSort/pcu1,/TopQuery/TopDB/sortB_sort/blockSort/pmu3Out0_50/pmu3Out0_50_dst0,,,,,,,,
/TopQuery/TopDB/sortB_sort/mergeSort/data2_54/data2_54_src,/TopQuery/TopDB/sortB_sort/mergeSort/loadCtrl2,/TopQuery/TopDB/sortB_sort/mergeSort/loadCtrl2,2,100000,/TopQuery/TopDB/sortB_sort/mergeSort/mergeTree/pcu_2,/TopQuery/TopDB/sortB_sort/mergeSort/data2_54/data2_54_dst0,,,,,,,,
/TopQuery/TopDB/sortA_sort/blockSort/pmu3Out0_29/pmu3Out0_29_src,/TopQuery/TopDB/sortA_sort/blockSort/pmu3,/TopQuery/TopDB/sortA_sort/blockSort/pmu3,2,100000,/TopQuery/TopDB/sortA_sort/blockSort/pcu1,/TopQuery/TopDB/sortA_sort/blockSort/pmu3Out0_29/pmu3Out0_29_dst0,,,,,,,,
/TopQuery/TopDB/sortGroupBy_sort/mergeSort/nextIterBroadcast_82/nextIterBroadcast_82_src,/TopQuery/TopDB/sortGroupBy_sort/mergeSort/storeCtrl,/TopQuery/TopDB/sortGroupBy_sort/mergeSort/storeCtrl,1,10,/TopQuery/TopDB/sortGroupBy_sort/mergeSort/loadCtrl0,/TopQuery/TopDB/sortGroupBy_sort/mergeSort/nextIterBroadcast_82/nextIterBroadcast_82_dst0,/TopQuery/TopDB/sortGroupBy_sort/mergeSort/loadCtrl1,/TopQuery/TopDB/sortGroupBy_sort/mergeSort/nextIterBroadcast_82/nextIterBroadcast_82_dst1,/TopQuery/TopDB/sortGroupBy_sort/mergeSort/loadCtrl2,/TopQuery/TopDB/sortGroupBy_sort/mergeSort/nextIterBroadcast_82/nextIterBroadcast_82_dst2,/TopQuery/TopDB/sortGroupBy_sort/mergeSort/loadCtrl3,/TopQuery/TopDB/sortGroupBy_sort/mergeSort/nextIterBroadcast_82/nextIterBroadcast_82_dst3,,
/TopQuery/TopDB/sortGroupBy_sort/mergeSort/storeData_87/storeData_87_src,/TopQuery/TopDB/sortGroupBy_sort/mergeSort/mergeTree/pcu_0,/TopQuery/TopDB/sortGroupBy_sort/mergeSort/mergeTree/pcu_0,2,100000,/TopQuery/TopDB/sortGroupBy_sort/mergeSort/storeCtrl,/TopQuery/TopDB/sortGroupBy_sort/mergeSort/storeData_87/storeData_87_dst0,,,,,,,,
/TopQuery/TopDB/sortA_done_17/sortA_done_17_src,/TopQuery/TopDB/sortA_sort/mergeSort/storeCtrl,/TopQuery/TopDB/sortA_sort/mergeSort/storeCtrl,1,10,/TopQuery/TopDB/loadAJoin_load,/TopQuery/TopDB/sortA_done_17/sortA_done_17_dst0,/TopQuery/TopDB/storeJoin_store,/TopQuery/TopDB/sortA_done_17/sortA_done_17_dst1,,,,,,
/TopQuery/TopDB/sortB_sort/blockSort/pcu0Out_43/pcu0Out_43_src,/TopQuery/TopDB/sortB_sort/blockSort/pcu0,/TopQuery/TopDB/sortB_sort/blockSort/pcu0,2,100000,/TopQuery/TopDB/sortB_sort/blockSort/pmu2,/TopQuery/TopDB/sortB_sort/blockSort/pcu0Out_43/pcu0Out_43_dst0,,,,,,,,
/TopQuery/TopDB/loadA_tableLoad/link1_2/link1_2_src,/TopQuery/TopDB/loadA_tableLoad/load1,/TopQuery/TopDB/loadA_tableLoad/load1,2,100000,/TopQuery/TopDB/loadA_tableLoad/muxTree/mux_pcu,/TopQuery/TopDB/loadA_tableLoad/link1_2/link1_2_dst0,,,,,,,,
/TopQuery/TopDB/sortA_sort/mergeSort/mergeTree/link_1_37/link_1_37_src,/TopQuery/TopDB/sortA_sort/mergeSort/mergeTree/pcu_2,/TopQuery/TopDB/sortA_sort/mergeSort/mergeTree/pcu_2,2,100000,/TopQuery/TopDB/sortA_sort/mergeSort/mergeTree/pcu_0,/TopQuery/TopDB/sortA_sort/mergeSort/mergeTree/link_1_37/link_1_37_dst0,,,,,,,,
/TopQuery/TopDB/loadAJoin_out_59/loadAJoin_out_59_src,/TopQuery/TopDB/loadAJoin_load,/TopQuery/TopDB/loadAJoin_load,2,100000,/TopQuery/TopDB/join_join,/TopQuery/TopDB/loadAJoin_out_59/loadAJoin_out_59_dst0,,,,,,,,
/TopQuery/TopDB/loadBJoin_out_60/loadBJoin_out_60_src,/TopQuery/TopDB/loadBJoin_load,/TopQuery/TopDB/loadBJoin_load,2,100000,/TopQuery/TopDB/join_join,/TopQuery/TopDB/loadBJoin_out_60/loadBJoin_out_60_dst0,,,,,,,,
/TopQuery/TopDB/outML_66/outML_66_src,/TopQuery/TopDB/DBMLTokenConvert,/TopQuery/TopDB/DBMLTokenConvert,2,100000,/TopQuery/TopDB/mux_mux,/TopQuery/TopDB/outML_66/outML_66_dst0,,,,,,,,
/TopQuery/TopDB/sortGroupBy_sort/blockSort/pmu1Out0_78/pmu1Out0_78_src,/TopQuery/TopDB/sortGroupBy_sort/blockSort/pmu1,/TopQuery/TopDB/sortGroupBy_sort/blockSort/pmu1,2,100000,/TopQuery/TopDB/sortGroupBy_sort/blockSort/pcu0,/TopQuery/TopDB/sortGroupBy_sort/blockSort/pmu1Out0_78/pmu1Out0_78_dst0,,,,,,,,
/TopQuery/TopDB/loadA_tableLoad/link3_4/link3_4_src,/TopQuery/TopDB/loadA_tableLoad/load3,/TopQuery/TopDB/loadA_tableLoad/load3,2,100000,/TopQuery/TopDB/loadA_tableLoad/muxTree/mux_pcu,/TopQuery/TopDB/loadA_tableLoad/link3_4/link3_4_dst0,,,,,,,,
/TopQuery/TopDB/loadA_tableLoad/link0_1/link0_1_src,/TopQuery/TopDB/loadA_tableLoad/load0,/TopQuery/TopDB/loadA_tableLoad/load0,2,100000,/TopQuery/TopDB/loadA_tableLoad/muxTree/mux_pcu,/TopQuery/TopDB/loadA_tableLoad/link0_1/link0_1_dst0,,,,,,,,
/TopQuery/TopDB/sortB_sort/mergeSort/data0_52/data0_52_src,/TopQuery/TopDB/sortB_sort/mergeSort/loadCtrl0,/TopQuery/TopDB/sortB_sort/mergeSort/loadCtrl0,2,100000,/TopQuery/TopDB/sortB_sort/mergeSort/mergeTree/pcu_1,/TopQuery/TopDB/sortB_sort/mergeSort/data0_52/data0_52_dst0,,,,,,,,
/TopQuery/TopDB/sortGroupBy_sort/blockSort/pcu1Out_75/pcu1Out_75_src,/TopQuery/TopDB/sortGroupBy_sort/blockSort/pcu1,/TopQuery/TopDB/sortGroupBy_sort/blockSort/pcu1,2,100000,/TopQuery/TopDB/sortGroupBy_sort/blockSort/pmu0,/TopQuery/TopDB/sortGroupBy_sort/blockSort/pcu1Out_75/pcu1Out_75_dst0,,,,,,,,
/TopQuery/TopDB/sortGroupBy_sort/blockSort/pmu2Out0_79/pmu2Out0_79_src,/TopQuery/TopDB/sortGroupBy_sort/blockSort/pmu2,/TopQuery/TopDB/sortGroupBy_sort/blockSort/pmu2,2,100000,/TopQuery/TopDB/sortGroupBy_sort/blockSort/pcu1,/TopQuery/TopDB/sortGroupBy_sort/blockSort/pmu2Out0_79/pmu2Out0_79_dst0,,,,,,,,
/TopQuery/TopDB/sortA_sort/mergeSort/data2_33/data2_33_src,/TopQuery/TopDB/sortA_sort/mergeSort/loadCtrl2,/TopQuery/TopDB/sortA_sort/mergeSort/loadCtrl2,2,100000,/TopQuery/TopDB/sortA_sort/mergeSort/mergeTree/pcu_2,/TopQuery/TopDB/sortA_sort/mergeSort/data2_33/data2_33_dst0,,,,,,,,
TopQuery/StreamInfKmeans_D0Top/go1387,279,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2662,2,1000000,TopQuery/StreamInfKmeans_D0Top/ComputeContainer1379,TopQuery/StreamInfKmeans_D0Top/gi1405,,
TopQuery/StreamInfKmeans_D0Top/go1410,246,TopQuery/StreamInfKmeans_D0Top/ComputeContainer1380,1,1000000,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2680,TopQuery/StreamInfKmeans_D0Top/gi2681,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2692,TopQuery/StreamInfKmeans_D0Top/gi2693
TopQuery/StreamInfKmeans_D0Top/go1389,329,TopQuery/StreamInfKmeans_D0Top/MemoryContainer303,2,1000000,TopQuery/StreamInfKmeans_D0Top/ComputeContainer1379,TopQuery/StreamInfKmeans_D0Top/gi1407,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2767,TopQuery/StreamInfKmeans_D0Top/gi2770
TopQuery/StreamInfKmeans_D0Top/go1412,247,TopQuery/StreamInfKmeans_D0Top/ComputeContainer1381,1,1000000,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2674,TopQuery/StreamInfKmeans_D0Top/gi2675,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2686,TopQuery/StreamInfKmeans_D0Top/gi2687
TopQuery/StreamInfKmeans_D0Top/go1414,248,TopQuery/StreamInfKmeans_D0Top/ComputeContainer1382,1,1000000,TopQuery/StreamInfKmeans_D0Top/ComputeContainer1383,TopQuery/StreamInfKmeans_D0Top/gi1415,,
TopQuery/StreamInfKmeans_D0Top/go2771,2699,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2767,2,1000000,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2766,TopQuery/StreamInfKmeans_D0Top/gi2768,,
TopQuery/StreamInfKmeans_D0Top/go2695,429,TopQuery/StreamInfKmeans_D0Top/ComputeContainer2692,2,1000000,TopQuery/StreamInfKmeans_D0Top/MemoryContainer422,TopQuery/StreamInfKmeans_D0Top/gi2696,,
