node,tp
/TopQuery/TopDB/sortA_sort/mergeSort/mergeTree/pcu_0,4
/TopQuery/TopDB/storeB_store,3
/TopQuery/TopDB/storeA_store,3
/TopQuery/TopDB/loadB_tableLoad/muxTree/mux_head,4
/TopQuery/TopDB/sortB_sort/mergeSort/loadCtrl2,3
/TopQuery/TopDB/loadB_tableLoad/load6,3
/TopQuery/TopDB/sortA_sort/blockSort/loadCtrl,3
/TopQuery/TopDB/loadB_tableLoad/load5,3
/TopQuery/TopDB/sortA_sort/blockSort/storeCtrl,3
/TopQuery/TopDB/sortB_sort/blockSort/pcu1,4
/TopQuery/TopDB/sortA_sort/mergeSort/mergeTree/pcu_2,4
/TopQuery/TopDB/sortGroupBy_sort/blockSort/pcu0,4
/TopQuery/TopDB/sortA_sort/blockSort/pcu0,4
/TopQuery/TopDB/sortGroupBy_sort/blockSort/pmu3,2
/TopQuery/TopDB/sortA_sort/blockSort/pcu1,4
/TopQuery/TopDB/loadB_tableLoad/muxTree/mux0,4
/TopQuery/TopDB/sortB_sort/blockSort/loadCtrl,3
/TopQuery/TopDB/DBMLTokenConvert,4
/TopQuery/TopDB/sortB_sort/blockSort/pmu2,2
/TopQuery/TopDB/sortA_sort/blockSort/pmu0,2
/TopQuery/TopDB/sortB_sort/mergeSort/mergeTree/pcu_0,4
/TopQuery/TopDB/sortA_sort/blockSort/pmu1,2
/TopQuery/TopDB/sortGroupBy_sort/mergeSort/loadCtrl0,3
/TopQuery/TopDB/sortA_sort/blockSort/pmu2,2
/TopQuery/TopDB/sortA_sort/blockSort/pmu3,2
/TopQuery/TopDB/sortA_sort/mergeSort/loadCtrl0,3
/TopQuery/TopDB/sortB_sort/blockSort/pmu3,2
/TopQuery/TopDB/sortA_sort/mergeSort/loadCtrl2,3
/TopQuery/TopDB/sortA_sort/mergeSort/loadCtrl3,3
/TopQuery/TopDB/sortGroupBy_sort/blockSort/pmu0,2
/TopQuery/TopDB/sortA_sort/mergeSort/mergeTree/pcu_1,4
