 ,1-stage ,2-stage ,4-stage ,8-stage ,16-stage ,64-stage
if-1,3.8914286603743116,5.851954040476448,7.232016111828237,7.648540956838631,7.688374881811683,7.658447981503174
if-2,3.891322662173547,6.091504104040081,7.976574183745498,8.821968076426042,9.234584258562505,9.295192200453549
if-64,3.8915573802389383,6.087674443379141,7.9727784044932175,8.797682878016811,9.25773682529839,9.364694262536805
of-1,3.8914286603743116,5.859467329940792,7.167219106659739,7.467116388981181,7.4512508567512,7.390525833598085
of-2,3.891322662173547,6.137929447146737,8.068184201821687,8.856075163601265,9.140128581807547,9.181899127497372
of-64,3.8915573802389383,6.14134817039282,8.081320883551985,8.876551592531941,9.318618864830619,9.357435842270437
augmenting,3.8914286603743116,6.176330717755358,8.221546720597182,9.084239019361167,9.516827792262164,9.553778486695066

